employee_id,working_hours,discretion,overtime,new_innovation
employee11,600,2,9,3
employee12,560,2,18,3
employee13,612,2,15,3
employee14,588,2,12,3
employee15,596,2,15,3
employee16,592,2,12,3
employee17,576,2,21,3
employee18,588,2,15,3
employee19,604,2,12,3
employee20,560,2,21,3
employee21,604,2,12,3
employee22,592,2,15,3
employee23,588,2,12,3
employee24,596,2,15,3
employee25,592,2,12,3
employee26,576,2,21,3
employee27,588,2,15,3
employee28,604,2,12,3
employee29,560,2,21,3
employee30,604,2,12,3
employee31,592,2,15,3
employee32,588,2,12,3
employee33,596,2,15,3
employee34,592,2,12,3
employee35,576,2,21,3
employee36,588,2,15,3
employee37,604,2,12,3
employee38,560,2,21,3
employee39,604,2,12,3
employee40,592,2,15,3
employee41,588,2,12,3
employee42,596,2,15,3
employee43,592,2,12,3
employee44,576,2,21,3
employee45,588,2,15,3
employee46,604,2,12,3
employee47,560,2,21,3
employee48,604,2,12,3
employee49,592,2,15,3
employee50,588,2,12,3
employee51,596,2,15,3
employee52,592,2,12,3
employee53,576,2,21,3
employee54,588,2,15,3
employee55,604,2,12,3
employee56,560,2,21,3
employee57,604,2,12,3
employee58,592,2,15,3
employee59,588,2,12,3
employee60,596,2,15,3

